,domain,revenue,is_confidential,name,seller_id,seller_type,_merge
1895,cotemaison.fr,,0,Coté Maison SAS,eebcf517eb842e10daa01d4317d38548,PUBLISHER,right_only
1896,uk.businessinsider.com,,0,Business Insider UK,eebd0a9ba7943b0d8c6b7a35b73a9c82,PUBLISHER,right_only
1897,uk.reuters.com,,0,Reuters,eeda973a41168f4b4db66b88cf90c1f3,PUBLISHER,right_only
1898,healthmad.com,,0,Triond,eedf6b5ec56e8dd257648a2bf8aa9b80,PUBLISHER,right_only
1899,worldcineactress.com,,0,World Cine Actress,eee3b9fa3a605dec5f4adec26208b06f,PUBLISHER,right_only
1900,contrepoints.org,,0,Liberaux.org,eeebd4a85972f0fe7150841331fd37ab,PUBLISHER,right_only
1901,inspiringdiscovery.com,,0,NetNovity,ef2cb40b48438646d89a71bf5de42710,PUBLISHER,right_only
1902,strong-magazine.com,,0,Strong Magazine,ef3d9ff1d4ab63fd5b19aa01c465688f,PUBLISHER,right_only
1903,asomadetodosafetos.com,,0,asomadetodosafetos.com,ef5d96df3e8fd229c71496e26ba9e65b,PUBLISHER,right_only
1904,asiatimes.com,,0,Asia Times,ef69dc31789e39d8aeb02eb13ffa00d7,PUBLISHER,right_only
1905,elinpc.com.mx,,0,elinpc.com.mx,ef791799bae7589507ef63162f8c3cc0,PUBLISHER,right_only
1906,sentidodemujer.com,,0,Sentido de Mujer,efa784ed70b1ffb930992f04e452143c,PUBLISHER,right_only
1907,newsutra.com,,0,Social Sutra,efc3c2d324bba6dc89516e9ee1f5ef95,PUBLISHER,right_only
1908,techienews.co.uk,,0,Parity Media Private Limited,efcbe589b474b7573c45cd5b411830cd,PUBLISHER,right_only
1909,tv2.hu,,0,TV2 Média Csoport_backup,f025ebf283a7cbc468d03e6b6ec4e98c,PUBLISHER,right_only
1910,latestnewsindia.net,,0,Latest News India,f0727bc69ce48f5dc48816cc977d7b3f,PUBLISHER,right_only
1911,wamiz.com,,0,Wamiz,f092e2f3da3d05e4cbaa462ffb723524,PUBLISHER,right_only
1912,footmercato.net,,0,Adversport,f0b714cadf230cc0ed3e23e3128f248c,PUBLISHER,right_only
1913,leparisien.fr,,0,Amaury Media,f0e51fa33c351b9e27cec6f47ddfe627,PUBLISHER,right_only
1914,mobideck.net,,0,Mobideck,f1017dcb99b102dcc1bc7bf12517addc,PUBLISHER,right_only
1915,dromadaire.com,,0,W SAS [Groupe Aventers],f1307a6cd260bb33f2711b0810370811,PUBLISHER,right_only
1916,perthgazette.co.uk,,0,Perth Gazette,f146fe5540367856555fa19eb4516dfc,PUBLISHER,right_only
1917,mobrrvcdrs.com,,0,otman moulay,f14b8b5ee39fc8387da5e5f2c17b586e,PUBLISHER,right_only
1918,de.themoneytizer.com,,0,The Moneytizer DE,f15f921e8523dda73e32ff2a6069788f,PUBLISHER,right_only
1919,adsinteractive.hu,,0,Ads Interactive,f1ba90985ffcf4b4bddcd54e19008675,PUBLISHER,right_only
1920,alkhaleejiah.com,,0,Al-khaleejiah,f1ca0525790ecb4d02bde05b64019363,PUBLISHER,right_only
1921,ediffusion.co.uk,,0,Media Lives,f1df11e9dfcbd6b480dd02dacec5f185,PUBLISHER,right_only
1922,x-oo.com,,0,Dirk Beyer Werbeagentur,f1e08750a363d5febccf1417719d222c,PUBLISHER,right_only
1923,televisa.com,,0,Televisa,f2529bb730e18de06829905c9544359a,PUBLISHER,right_only
1924,pebblemedia.be,,0,Pebble Media (BE),f26835c7ffa8203b593b5d0e5dc1dd74,PUBLISHER,right_only
1925,ou-dejeuner.com,,0,Web-tribu.com,f286f14c39a09b803ac8bc50b2f3a3ae,PUBLISHER,right_only
1926,netmediaeurope.com,,0,Net Media Europe,f2a6608a30332c819f0f26c52df7dadd,PUBLISHER,right_only
1927,cnetfrance.fr,,0,NEWEB Regie,f2bfaff23def8baf634e173778e17e6a,PUBLISHER,right_only
1928,thinkingpinoynews.info,,0,National Statistic Resources,f2c67f736b07960484ce14e07d1859ac,PUBLISHER,right_only
1929,mannheim24.de,,0,Headline24 GmbH & Co. KG,f2c945bba0cf8584634b276d745cec26,PUBLISHER,right_only
1930,parlerdamour.fr,,0,PDA SAS,f2d60b59bd56253f3c63b4cd06b6bab1,PUBLISHER,right_only
